flight_id,airline_id,origin_city_id,destination_city_id,flight_number,departure_time,arrival_time,duration_minutes,aircraft_type
98,1,7,10,QR160,08:15,11:30,195,Airbus A320
99,1,7,10,QR249,22:30,03:43,313,Airbus A380
100,1,7,10,QR601,04:30,16:12,702,Airbus A380
101,7,7,11,BA562,02:00,09:52,472,Airbus A321neo
102,7,7,11,BA867,08:30,17:15,525,Bombardier Q400
103,7,7,11,BA435,18:00,20:35,155,Bombardier Q400
104,7,7,11,BA750,21:30,23:34,124,Airbus A321neo
105,7,7,11,BA507,06:45,11:21,276,Bombardier Q400
106,8,7,12,AF430,09:30,19:50,620,Boeing 777X
107,8,7,12,AF233,18:45,01:36,411,Boeing 737
108,8,7,12,AF147,03:45,05:01,76,Boeing 777
109,8,7,12,AF978,05:45,14:32,527,Boeing 737
110,5,7,15,TK307,22:15,04:24,369,Boeing 787
111,5,7,15,TK995,08:00,15:09,429,Airbus A330
112,5,7,15,TK184,11:15,13:08,113,Airbus A380
113,5,7,15,TK740,09:15,17:34,499,Boeing 777
114,5,7,15,TK820,03:00,07:38,278,Bombardier Q400
115,2,8,9,EK235,18:15,04:06,591,Bombardier Q400
116,2,8,9,EK109,00:30,03:33,183,Airbus A380
117,1,8,10,QR589,02:15,09:47,452,Boeing 777
118,1,8,10,QR848,03:00,09:20,380,Airbus A350
119,1,8,10,QR406,04:45,08:01,196,Boeing 787
120,11,8,11,MS643,18:00,05:24,684,Boeing 787
121,11,8,11,MS550,11:15,22:58,703,Boeing 787
122,12,1,6,TC730,21:45,02:27,282,Boeing 777
123,12,1,6,TC202,04:00,15:03,663,Airbus A380
124,12,1,6,TC459,13:30,16:53,203,Airbus A320
125,12,1,6,TC383,20:00,01:14,314,Airbus A321neo
126,12,1,6,TC715,19:30,20:57,87,Airbus A330
127,11,1,8,MS630,19:15,02:56,461,Airbus A330
128,11,1,8,MS761,01:15,10:41,566,Airbus A380
129,11,1,8,MS215,07:45,19:38,713,Boeing 777X
130,4,2,6,KQ640,00:30,06:54,384,Boeing 787
131,4,2,6,KQ496,18:45,01:59,434,Airbus A321neo
132,11,2,8,MS881,15:00,16:17,77,Boeing 777X
133,11,2,8,MS169,00:30,05:10,280,Boeing 737
134,11,2,8,MS161,12:30,00:13,703,Airbus A321neo
135,14,3,2,PW533,22:45,01:09,144,Airbus A321neo
136,14,3,2,PW650,19:15,00:59,344,Boeing 777
137,14,3,2,PW417,02:15,05:54,219,Airbus A321neo
138,14,3,2,PW434,12:00,18:17,377,Airbus A380
139,14,3,2,PW847,07:00,12:10,310,Boeing 777
140,14,3,4,PW218,14:00,20:16,376,Boeing 787
141,14,3,4,PW222,00:15,01:26,71,Boeing 787
142,14,3,4,PW608,11:30,15:20,230,Airbus A350
143,14,3,4,PW229,08:00,09:30,90,Airbus A350
144,14,3,4,PW926,13:30,23:26,596,Boeing 777
145,10,21,2,SA829,18:00,03:28,568,Bombardier Q400
146,10,21,2,SA623,11:00,20:31,571,Boeing 777X
147,10,21,2,SA270,11:15,16:36,321,Boeing 777
148,10,21,2,SA687,21:00,01:53,293,Airbus A321neo
149,4,22,2,KQ145,00:15,02:02,107,Bombardier Q400
150,4,22,2,KQ472,12:15,16:18,243,Boeing 737
151,10,23,6,SA329,10:15,18:21,486,Airbus A350
152,10,23,6,SA377,02:30,05:32,182,Airbus A321neo
153,10,23,6,SA789,01:15,06:03,288,Airbus A321neo
154,10,23,6,SA147,12:00,20:56,536,Airbus A330
155,10,23,6,SA892,09:30,11:58,148,Airbus A321neo
156,13,24,2,WB108,11:15,17:13,358,Boeing 777X
157,13,24,2,WB903,09:15,18:10,535,Airbus A350
158,13,24,2,WB705,15:15,01:34,619,Airbus A320
159,13,24,2,WB254,00:45,02:09,84,Airbus A320
160,13,24,2,WB654,11:00,17:43,403,Boeing 737
161,13,24,7,WB969,09:00,13:30,270,Airbus A321neo
162,13,24,7,WB343,13:45,15:46,121,Boeing 787
163,13,24,7,WB828,08:00,09:44,104,Airbus A320
164,13,24,7,WB965,16:45,00:06,441,Bombardier Q400
165,13,24,7,WB865,02:00,11:37,577,Boeing 787
166,11,25,8,MS176,18:00,02:25,505,Boeing 787
167,11,25,8,MS342,09:30,15:52,382,Airbus A380
168,11,25,8,MS817,10:30,19:13,523,Airbus A330
169,11,25,8,MS339,02:15,05:34,199,Boeing 777X
170,11,25,8,MS211,04:00,07:48,228,Bombardier Q400
171,2,1,16,EK421,13:00,23:08,608,Airbus A350
172,2,1,16,EK888,06:45,13:00,375,Bombardier Q400
173,2,1,16,EK371,03:00,06:41,221,Airbus A330
174,2,1,16,EK946,22:00,02:40,280,Airbus A350
175,2,1,16,EK251,02:15,09:19,424,Airbus A380
176,1,1,18,QR793,09:30,13:28,238,Boeing 737
177,1,1,18,QR514,14:15,16:51,156,Bombardier Q400
178,2,2,16,EK923,04:00,05:12,72,Boeing 737
179,2,2,16,EK950,07:15,11:37,262,Airbus A380
180,2,4,18,EK802,20:00,06:56,656,Boeing 777X
181,2,4,18,EK365,02:00,04:06,126,Airbus A320
182,2,4,18,EK761,14:15,16:49,154,Airbus A350
183,2,4,18,EK225,01:45,03:36,111,Boeing 787
184,2,9,11,EK941,12:45,14:15,90,Airbus A380
185,2,9,11,EK799,13:15,20:17,422,Airbus A320
186,2,9,11,EK291,08:30,17:06,516,Boeing 787
187,2,9,11,EK135,19:15,01:17,362,Bombardier Q400
188,2,9,11,EK521,17:45,19:47,122,Boeing 777
189,2,9,12,EK492,04:45,09:09,264,Airbus A321neo
190,2,9,12,EK355,20:00,03:31,451,Airbus A350
191,2,9,12,EK591,17:45,00:37,412,Boeing 777X
192,2,9,12,EK614,10:45,16:21,336,Boeing 787
193,1,10,11,QR426,19:15,20:45,90,Airbus A330
194,1,10,11,QR159,15:30,02:28,658,Airbus A320
195,1,10,12,QR202,07:15,12:47,332,Airbus A321neo
196,1,10,12,QR935,01:15,12:04,649,Airbus A380
197,1,10,12,QR463,05:15,10:17,302,Boeing 777X
198,1,10,14,QR925,22:30,09:35,665,Boeing 737
199,1,10,14,QR820,22:30,09:11,641,Boeing 777X
200,1,10,14,QR245,18:15,03:39,564,Airbus A321neo
201,1,10,14,QR416,05:45,07:23,98,Boeing 777
202,5,10,15,TK338,19:15,20:35,80,Airbus A321neo
203,5,10,15,TK589,00:30,11:58,688,Airbus A320
204,5,15,11,TK448,22:15,04:46,391,Boeing 737
205,5,15,11,TK122,04:15,07:08,173,Airbus A321neo
206,5,15,11,TK981,11:00,18:22,442,Airbus A380
207,8,15,12,AF444,09:30,12:49,199,Boeing 787
208,8,15,12,AF849,13:45,20:09,384,Boeing 787
209,6,15,14,LH328,21:15,04:42,447,Airbus A330
210,6,15,14,LH851,22:30,01:40,190,Boeing 787
211,6,15,14,LH846,00:45,11:26,641,Boeing 737
212,6,15,14,LH286,19:30,06:56,686,Airbus A320
213,16,26,1,EY608,04:30,06:49,139,Airbus A320
214,16,26,1,EY455,10:15,22:06,711,Boeing 777
215,16,26,2,EY557,00:30,05:04,274,Airbus A320
216,16,26,2,EY809,02:30,07:52,322,Boeing 777
217,16,26,2,EY837,00:00,07:35,455,Bombardier Q400
218,16,26,2,EY850,13:15,21:18,483,Bombardier Q400
219,16,26,4,EY459,17:45,20:28,163,Bombardier Q400
220,16,26,4,EY907,18:15,22:01,226,Bombardier Q400
221,16,26,4,EY175,01:30,02:50,80,Airbus A350
222,16,26,4,EY367,03:00,09:50,410,Boeing 787
223,16,26,4,EY484,05:00,15:20,620,Boeing 777
224,16,26,6,EY708,19:45,21:16,91,Airbus A380
225,16,26,6,EY769,05:45,09:25,220,Boeing 737
226,16,26,6,EY203,10:15,14:29,254,Airbus A380
227,16,26,6,EY813,17:30,23:18,348,Airbus A330
228,16,26,7,EY198,01:45,12:30,645,Airbus A321neo
229,16,26,7,EY960,15:15,17:10,115,Airbus A350
230,16,26,7,EY103,13:00,19:01,361,Boeing 777X
231,16,26,11,EY304,03:00,07:31,271,Boeing 787
232,16,26,11,EY753,09:00,18:04,544,Boeing 777
233,16,26,11,EY415,12:45,22:05,560,Airbus A330
234,16,26,11,EY193,20:45,00:54,249,Airbus A350
235,16,26,11,EY490,11:15,19:51,516,Boeing 737
236,16,26,12,EY550,14:30,19:21,291,Airbus A330
237,16,26,12,EY677,01:15,03:54,159,Boeing 777
238,16,26,12,EY784,11:45,22:48,663,Airbus A320
239,16,26,12,EY666,01:45,11:40,595,Airbus A380
240,16,26,14,EY686,07:45,13:51,366,Boeing 777
241,16,26,14,EY504,22:00,07:34,574,Boeing 777X
242,16,26,14,EY629,18:15,21:18,183,Bombardier Q400
243,16,26,14,EY277,05:15,09:32,257,Boeing 787
244,16,26,14,EY143,13:00,21:25,505,Airbus A320
245,16,26,15,EY954,19:30,01:57,387,Boeing 777
246,16,26,15,EY189,12:45,23:10,625,Airbus A350
247,16,26,15,EY977,08:45,09:57,72,Boeing 777X
248,16,26,16,EY215,13:15,16:46,211,Boeing 777X
249,16,26,16,EY702,18:00,20:48,168,Boeing 777X
250,16,26,16,EY898,03:30,13:38,608,Airbus A350
251,16,26,16,EY998,13:30,21:02,452,Bombardier Q400
252,16,26,16,EY685,19:45,21:23,98,Boeing 787
253,16,26,17,EY512,04:45,06:24,99,Airbus A380
254,16,26,17,EY439,22:15,00:05,110,Bombardier Q400
255,16,26,17,EY375,11:00,17:45,405,Airbus A330
256,16,26,17,EY418,08:45,11:25,160,Airbus A320
257,16,26,27,EY407,14:30,20:05,335,Airbus A380
258,16,26,27,EY719,20:00,00:12,252,Bombardier Q400
259,16,26,27,EY316,13:45,23:33,588,Airbus A350
260,16,26,18,EY627,05:00,11:18,378,Airbus A321neo
261,16,26,18,EY513,04:00,07:57,237,Airbus A320
262,16,26,20,EY957,01:15,02:48,93,Bombardier Q400
263,16,26,20,EY151,11:15,16:55,340,Airbus A350
264,16,26,20,EY943,14:45,02:35,710,Boeing 777
265,16,1,26,EY347,11:45,22:53,668,Bombardier Q400
266,16,1,26,EY281,15:30,22:22,412,Boeing 787
267,16,2,26,EY866,22:00,03:51,351,Boeing 737
268,16,2,26,EY495,01:15,12:00,645,Airbus A320
269,16,2,26,EY326,20:15,00:46,271,Airbus A330
270,16,2,26,EY767,13:00,14:09,69,Bombardier Q400
271,16,4,26,EY762,05:00,09:49,289,Airbus A330
272,16,4,26,EY722,09:30,17:43,493,Airbus A380
273,16,4,26,EY972,11:45,17:03,318,Airbus A320
274,1,10,26,QR409,21:45,08:43,658,Boeing 777
275,1,10,26,QR107,16:30,03:04,634,Boeing 777X
276,1,10,26,QR723,09:30,12:20,170,Bombardier Q400
277,1,10,26,QR165,10:30,22:25,715,Airbus A350
278,1,10,26,QR982,08:30,14:35,365,Airbus A320
279,2,9,26,EK629,07:00,18:14,674,Airbus A380
280,2,9,26,EK776,10:15,11:41,86,Bombardier Q400
281,2,9,26,EK402,08:45,16:39,474,Airbus A380
282,2,27,9,EK697,22:15,05:06,411,Airbus A320
283,2,27,9,EK647,20:45,03:52,427,Airbus A321neo
284,16,27,26,EY965,05:15,11:15,360,Boeing 777
285,16,27,26,EY582,04:30,15:02,632,Boeing 787
286,16,27,26,EY796,10:00,14:47,287,Airbus A350
287,16,27,26,EY328,09:45,16:24,399,Airbus A350
288,1,27,10,QR699,09:45,12:45,180,Bombardier Q400
289,1,27,10,QR154,20:00,05:03,543,Airbus A320
290,1,27,10,QR612,03:45,13:47,602,Airbus A330
291,1,27,10,QR523,01:15,04:35,200,Airbus A320
292,7,27,11,BA519,18:45,22:11,206,Airbus A350
293,7,27,11,BA983,22:15,00:37,142,Bombardier Q400
294,7,27,11,BA440,20:15,02:35,380,Boeing 737
295,7,27,11,BA104,14:30,19:04,274,Boeing 787
296,5,27,15,TK601,02:15,13:44,689,Airbus A380
297,5,27,15,TK748,13:45,22:04,499,Bombardier Q400
298,5,27,15,TK492,00:00,10:06,606,Airbus A320
299,6,27,14,LH114,10:15,11:33,78,Boeing 737
300,6,27,14,LH741,07:15,14:07,412,Airbus A330
301,6,27,14,LH232,03:45,13:20,575,Boeing 777X
302,6,27,14,LH413,05:00,06:46,106,Airbus A330
303,2,16,27,EK566,16:30,00:54,504,Boeing 787
304,2,16,27,EK450,15:30,19:42,252,Boeing 787
305,2,16,27,EK931,12:00,16:53,293,Airbus A320
306,2,16,27,EK844,04:15,05:37,82,Boeing 777X
307,1,17,27,QR226,11:00,18:24,444,Airbus A330
308,1,17,27,QR889,17:00,04:08,668,Boeing 737
309,1,17,27,QR777,03:00,04:49,109,Boeing 777
