price_id,flight_id,cabin_class,base_price,seats_available,price_date
82,5,First,6828.78,8,2024-05-06
83,5,First,4476.47,32,2024-03-11
84,5,First,3793.48,35,2024-05-20
85,5,First,7164.25,35,2024-02-12
86,5,First,5795.5,12,2024-02-26
87,6,Economy,746.41,33,2024-05-06
88,6,Economy,787.31,166,2024-06-03
89,6,Economy,783.12,45,2024-02-26
90,6,Economy,462.65,177,2024-03-11
91,6,Business,2862.42,26,2024-03-11
92,6,Business,2218.18,34,2024-06-03
93,6,Business,1286.23,27,2024-01-15
94,6,Business,2539.93,33,2024-06-17
95,6,Business,855.53,24,2024-04-22
96,6,Business,948.78,3,2024-04-08
97,6,Business,1079.77,10,2024-02-26
98,6,Business,2960.48,16,2024-03-25
99,6,First,6521.56,2,2024-01-01
100,6,First,4152.09,28,2024-06-03
101,6,First,2614.88,35,2024-02-26
102,6,First,7189.05,35,2024-02-12
103,7,Economy,403.27,175,2024-02-12
104,7,Economy,332.6,141,2024-04-22
105,7,Economy,156.59,190,2024-02-26
106,7,Economy,290.91,158,2024-01-01
107,7,Economy,710.82,113,2024-03-25
108,7,Economy,684.39,162,2024-06-03
109,7,Business,2914.3,18,2024-06-03
110,7,Business,1677.16,4,2024-05-20
111,7,Business,1048.74,11,2024-03-11
112,7,Business,2364.19,7,2024-05-06
113,7,Business,1505.28,27,2024-04-22
114,7,Business,1269.87,16,2024-02-12
115,7,Business,912.16,37,2024-03-25
116,7,Business,2630.43,0,2024-06-17
117,7,First,7571.77,38,2024-04-08
118,7,First,2305.13,40,2024-06-03
119,7,First,5693.65,19,2024-01-29
120,7,First,4943.31,36,2024-01-01
121,7,First,5300.96,4,2024-05-20
122,8,Economy,228.37,139,2024-03-11
123,8,Economy,485.18,23,2024-04-22
124,8,Economy,357.59,54,2024-02-12
125,8,Economy,571.07,84,2024-01-29
126,8,Economy,365.34,55,2024-06-03
127,8,Economy,766.21,158,2024-01-15
128,8,Economy,480.74,143,2024-03-25
129,8,Economy,680.11,166,2024-02-26
130,8,Business,1669.6,39,2024-01-15
131,8,Business,2804.66,15,2024-05-20
132,8,Business,2901.35,20,2024-03-11
133,8,First,2148.23,33,2024-06-17
134,8,First,6932.65,23,2024-01-15
135,8,First,5085.85,32,2024-03-25
136,8,First,4673.34,2,2024-02-26
137,8,First,3778.6,12,2024-04-22
138,8,First,3921.88,5,2024-05-06
139,9,Economy,124.98,16,2024-01-29
140,9,Economy,263.33,161,2024-04-22
141,9,Economy,646.04,175,2024-06-03
142,9,Business,657.01,21,2024-01-15
143,9,Business,690.93,4,2024-02-12
144,9,Business,730.24,16,2024-04-22
145,9,Business,1939.4,36,2024-03-25
146,9,Business,2571.89,16,2024-06-17
147,9,Business,1578.32,28,2024-01-29
148,9,First,5848.54,39,2024-03-25
149,9,First,2379.43,37,2024-06-17
150,9,First,2273.1,4,2024-03-11
151,9,First,4146.2,32,2024-01-01
152,9,First,2636.81,19,2024-06-03
153,9,First,5639.4,18,2024-01-15
154,9,First,6591.65,28,2024-02-26
155,9,First,4288.48,1,2024-05-06
156,10,Economy,772.89,36,2024-01-29
157,10,Economy,322.68,186,2024-04-22
158,10,Economy,560.6,2,2024-02-12
159,10,Economy,496.4,142,2024-06-17
160,10,Economy,216.13,10,2024-03-25
161,10,Economy,123.42,152,2024-02-26
162,10,Business,1108.17,32,2024-04-22
163,10,Business,941.89,11,2024-06-17
164,10,Business,1129.89,16,2024-01-15
165,10,Business,1066.38,11,2024-02-26
166,10,Business,2210.35,36,2024-02-12
167,10,Business,2645.4,35,2024-03-11
168,10,First,2589.21,37,2024-05-20
169,10,First,4923.14,21,2024-04-22
170,10,First,4142.83,15,2024-01-15
171,10,First,2600.27,39,2024-02-26
172,10,First,2418.85,12,2024-06-17
173,10,First,3906.72,28,2024-05-06
174,11,Economy,504.58,93,2024-05-06
175,11,Economy,669.24,109,2024-05-20
176,11,Economy,234.67,80,2024-02-26
177,11,Economy,287.4,56,2024-06-17
178,11,Economy,604.3,164,2024-01-29
179,11,Business,1668.86,19,2024-02-26
180,11,Business,1768.73,6,2024-03-11
181,11,Business,1021.85,38,2024-01-29
182,11,Business,796.74,17,2024-06-03
183,11,Business,2660.91,8,2024-04-08
184,11,Business,2739.11,12,2024-04-22
185,11,First,7097.52,40,2024-06-03
186,11,First,2187.17,37,2024-05-20
187,11,First,5473.4,37,2024-01-15
188,11,First,3276.56,2,2024-06-17
189,11,First,5309.56,34,2024-01-01
190,12,Economy,520.93,74,2024-04-08
191,12,Economy,211.04,128,2024-05-20
192,12,Economy,467.08,101,2024-01-29
193,12,Economy,367.43,2,2024-03-11
194,12,Economy,570.62,157,2024-03-25
195,12,Economy,585.23,193,2024-02-12
196,12,Economy,469.61,114,2024-04-22
197,12,Business,2366.21,30,2024-01-29
198,12,Business,2854.02,2,2024-05-06
199,12,Business,1125.17,31,2024-06-03
200,12,Business,1156.2,16,2024-06-17
201,12,First,7446.36,23,2024-02-12
202,12,First,4328.56,29,2024-01-01
203,12,First,7289.31,2,2024-05-20
204,12,First,7883.54,20,2024-06-17
205,12,First,2619.35,33,2024-04-22
206,13,Economy,377.39,150,2024-02-26
207,13,Economy,564.27,19,2024-06-03
208,13,Economy,471.33,96,2024-06-17
209,13,Economy,781.42,57,2024-05-06
210,13,Economy,471.13,90,2024-04-22
211,13,Economy,675.72,88,2024-01-29
212,13,Economy,451.07,123,2024-02-12
213,13,Economy,723.28,1,2024-03-11
214,13,Business,960.58,10,2024-01-29
215,13,Business,1469.34,7,2024-04-08
216,13,Business,2186.66,26,2024-06-17
217,13,Business,2546.81,7,2024-02-12
218,13,Business,1755.64,30,2024-01-15
219,13,Business,1749.65,37,2024-02-26
220,13,Business,986.99,26,2024-04-22
221,13,First,5440.92,10,2024-02-12
222,13,First,2808.34,32,2024-01-01
223,13,First,2235.15,36,2024-01-29
224,14,Economy,471.32,103,2024-01-01
225,14,Economy,527.56,144,2024-01-29
226,14,Economy,553.58,184,2024-02-26
227,14,Economy,615.02,72,2024-06-03
228,14,Business,2982.66,30,2024-02-12
229,14,Business,1009.36,26,2024-04-08
230,14,Business,2042.01,37,2024-05-06
231,14,First,3006.33,21,2024-05-06
232,14,First,7534.11,38,2024-05-20
233,14,First,5543.58,14,2024-04-22
234,14,First,4269.27,8,2024-02-26
235,15,Economy,704.52,129,2024-01-01
236,15,Economy,585.37,38,2024-02-12
237,15,Economy,531.75,45,2024-04-22
238,15,Business,823.66,8,2024-05-06
239,15,Business,2764.76,34,2024-06-17
240,15,Business,2586.05,27,2024-01-01
241,15,Business,1852.91,23,2024-04-22
242,15,Business,2699.58,33,2024-06-03
243,15,Business,1629.5,30,2024-01-15
244,15,First,3527.11,14,2024-03-11
245,15,First,7460.51,5,2024-05-06
246,15,First,3699.6,34,2024-06-03
247,15,First,4451.88,12,2024-01-15
248,15,First,2032.82,0,2024-03-25
249,15,First,5467.92,7,2024-01-29
250,16,Economy,192.48,109,2024-01-01
251,16,Economy,563.07,64,2024-03-25
252,16,Economy,297.69,137,2024-05-20
253,16,Economy,408.02,93,2024-02-12
254,16,Economy,536.08,174,2024-03-11
255,16,Economy,390.27,52,2024-06-03
256,16,Economy,401.0,200,2024-01-29
257,16,Business,2972.42,36,2024-04-08
258,16,Business,1426.46,25,2024-01-29
259,16,Business,2365.88,7,2024-03-11
260,16,Business,2394.75,28,2024-04-22
261,16,Business,2479.46,10,2024-05-06
262,16,Business,840.67,32,2024-06-17
263,16,Business,1561.35,21,2024-06-03
264,16,First,2031.74,5,2024-05-06
265,16,First,6939.53,30,2024-06-03
266,16,First,7555.17,27,2024-05-20
267,16,First,2528.84,16,2024-01-01
268,16,First,3330.62,5,2024-01-29
269,16,First,5654.17,24,2024-03-25
270,16,First,7584.11,25,2024-03-11
271,17,Economy,456.17,2,2024-05-20
272,17,Economy,257.16,168,2024-04-22
273,17,Economy,752.92,132,2024-02-26
274,17,Economy,314.48,8,2024-05-06
275,17,Economy,653.09,130,2024-01-01
276,17,Economy,470.75,59,2024-01-29
277,17,Economy,538.33,172,2024-03-11
278,17,Business,600.69,10,2024-03-11
279,17,Business,808.42,17,2024-02-12
280,17,Business,2471.21,22,2024-05-20
281,17,First,2411.7,5,2024-03-25
282,17,First,5297.56,35,2024-06-17
283,17,First,7490.05,22,2024-05-06
284,17,First,4084.85,17,2024-02-12
285,17,First,3357.77,12,2024-04-22
286,17,First,4728.55,25,2024-01-01
287,17,First,5449.44,16,2024-03-11
288,17,First,3050.21,32,2024-06-03
289,18,Economy,320.09,29,2024-04-22
290,18,Economy,666.0,65,2024-01-15
291,18,Economy,715.76,147,2024-06-17
292,18,Business,2447.92,21,2024-06-03
293,18,Business,2906.97,29,2024-04-08
294,18,Business,2235.83,37,2024-03-25
295,18,Business,2668.86,30,2024-05-06
296,18,Business,879.04,4,2024-06-17
297,18,First,7732.67,33,2024-05-20
298,18,First,5213.91,16,2024-02-12
299,18,First,3489.55,5,2024-06-17
300,18,First,4393.58,21,2024-06-03
301,18,First,2456.17,11,2024-03-11
302,18,First,4859.33,22,2024-03-25
303,19,Economy,459.32,51,2024-05-06
304,19,Economy,279.71,61,2024-02-26
305,19,Economy,713.46,52,2024-01-29
306,19,Economy,275.86,63,2024-02-12
307,19,Business,615.9,34,2024-03-11
308,19,Business,2899.18,30,2024-01-29
309,19,Business,1490.87,20,2024-01-15
310,19,Business,1781.62,36,2024-05-20
311,19,Business,2685.05,31,2024-05-06
312,19,Business,1038.89,32,2024-04-08
313,19,Business,1272.64,14,2024-02-26
314,19,First,4083.73,11,2024-01-29
315,19,First,4743.18,7,2024-01-01
316,19,First,6189.47,29,2024-04-22
317,19,First,3893.91,0,2024-03-25
318,19,First,2070.92,13,2024-04-08
319,19,First,4276.57,6,2024-06-03
320,19,First,3952.62,39,2024-02-26
321,20,Economy,440.51,156,2024-01-29
322,20,Economy,353.31,47,2024-04-22
323,20,Economy,459.16,53,2024-02-26
324,20,Economy,404.98,192,2024-02-12
325,20,Economy,373.17,102,2024-05-20
326,20,Business,2554.06,17,2024-04-08
327,20,Business,2529.81,35,2024-01-29
328,20,Business,1637.33,24,2024-05-06
329,20,Business,1070.55,9,2024-06-03
330,20,Business,1735.17,0,2024-02-12
331,20,First,5203.9,20,2024-03-25
332,20,First,6712.0,19,2024-04-08
333,20,First,3505.84,36,2024-01-29
334,20,First,2286.26,6,2024-04-22
335,21,Economy,347.57,92,2024-01-29
336,21,Economy,365.01,142,2024-01-01
337,21,Economy,753.65,65,2024-02-12
338,21,Economy,354.02,105,2024-02-26
339,21,Economy,202.44,173,2024-04-08
340,21,Economy,774.92,50,2024-01-15
341,21,Economy,512.26,166,2024-05-20
342,21,Economy,561.41,44,2024-03-11
343,21,Business,2459.39,28,2024-03-11
344,21,Business,2735.12,24,2024-06-17
345,21,Business,2072.79,29,2024-05-20
346,21,Business,2116.11,9,2024-04-22
347,21,Business,2683.82,40,2024-04-08
348,21,First,7093.4,4,2024-03-25
349,21,First,2474.67,21,2024-05-20
350,21,First,3369.31,20,2024-05-06
351,21,First,5918.08,17,2024-06-03
352,21,First,5632.31,25,2024-06-17
353,22,Economy,401.51,47,2024-04-08
354,22,Economy,700.86,32,2024-03-11
355,22,Economy,614.89,169,2024-05-06
356,22,Economy,291.12,190,2024-04-22
357,22,Economy,596.47,20,2024-06-17
358,22,Business,753.1,30,2024-01-29
359,22,Business,1916.24,1,2024-03-25
360,22,Business,2450.24,33,2024-01-15
361,22,Business,2435.99,5,2024-05-20
362,22,First,2505.87,24,2024-02-26
363,22,First,3856.22,15,2024-05-06
364,22,First,6425.56,28,2024-01-29
365,23,Economy,705.05,83,2024-01-29
366,23,Economy,707.68,119,2024-06-17
367,23,Economy,782.99,138,2024-04-22
368,23,Economy,755.7,140,2024-06-03
369,23,Economy,422.49,178,2024-01-01
370,23,Economy,486.72,151,2024-05-20
371,23,Economy,526.36,161,2024-03-11
372,23,Economy,629.26,144,2024-05-06
373,23,Business,1755.96,14,2024-04-22
374,23,Business,2531.3,28,2024-05-20
375,23,Business,1338.88,26,2024-06-03
376,23,Business,1223.54,19,2024-06-17
377,23,Business,625.33,33,2024-02-26
378,23,Business,2556.91,8,2024-03-11
379,23,First,7681.75,30,2024-02-26
380,23,First,3797.66,27,2024-04-08
381,23,First,6787.79,38,2024-04-22
382,23,First,3387.29,0,2024-01-01
383,23,First,5289.27,12,2024-06-03
384,24,Economy,683.33,56,2024-04-22
385,24,Economy,298.83,108,2024-03-25
386,24,Economy,545.22,132,2024-06-03
387,24,Economy,639.89,156,2024-02-12
388,24,Economy,669.15,175,2024-01-29
389,24,Economy,304.87,166,2024-05-20
390,24,Business,864.86,29,2024-04-22
391,24,Business,2082.55,17,2024-02-26
392,24,Business,2281.13,31,2024-03-25
393,24,Business,1050.69,1,2024-02-12
394,24,Business,965.16,34,2024-01-15
395,24,Business,653.11,6,2024-01-29
396,24,Business,1277.07,8,2024-06-17
397,24,Business,2316.47,0,2024-04-08
398,24,First,3303.13,26,2024-01-15
399,24,First,3869.46,31,2024-01-29
400,24,First,7987.78,29,2024-01-01
401,24,First,6181.61,2,2024-04-08
402,25,Economy,168.54,120,2024-01-15
403,25,Economy,243.49,64,2024-01-29
404,25,Economy,675.73,3,2024-01-01
405,25,Economy,202.93,196,2024-02-26
406,25,Economy,605.98,98,2024-03-25
407,25,Business,1850.73,13,2024-02-12
408,25,Business,1734.78,19,2024-06-03
409,25,Business,2846.92,10,2024-01-01
410,25,Business,2109.99,2,2024-06-17
411,25,Business,2387.34,35,2024-04-08
412,25,Business,1850.22,16,2024-01-15
413,25,First,7839.64,15,2024-05-20
414,25,First,5797.45,20,2024-02-26
415,25,First,2090.41,17,2024-02-12
416,25,First,5508.18,25,2024-03-11
417,25,First,6734.86,0,2024-01-01
418,25,First,7813.01,37,2024-06-17
419,26,Economy,459.95,175,2024-04-08
420,26,Economy,540.68,194,2024-06-03
421,26,Economy,545.09,15,2024-05-06
422,26,Economy,361.75,39,2024-01-29
423,26,Economy,596.9,27,2024-03-11
424,26,Economy,205.56,59,2024-01-15
425,26,Economy,335.38,142,2024-06-17
426,26,Economy,656.22,193,2024-03-25
427,26,Business,1459.6,8,2024-06-17
428,26,Business,1201.67,2,2024-04-08
429,26,Business,1764.73,28,2024-02-12
430,26,Business,1941.66,34,2024-01-01
431,26,Business,2272.89,12,2024-03-25
432,26,First,6988.1,35,2024-01-29
433,26,First,2962.06,33,2024-04-22
434,26,First,2930.15,18,2024-03-11
435,26,First,6916.51,34,2024-05-20
436,26,First,4202.68,0,2024-04-08
437,26,First,6655.51,32,2024-02-26
438,26,First,4274.26,11,2024-03-25
439,27,Economy,282.37,184,2024-05-06
440,27,Economy,163.07,137,2024-03-11
441,27,Economy,676.95,48,2024-06-17
442,27,Business,2138.17,7,2024-05-20
443,27,Business,831.02,4,2024-04-08
444,27,Business,705.07,8,2024-04-22
445,27,Business,1028.73,2,2024-01-29
446,27,Business,1084.99,31,2024-02-26
447,27,Business,1059.88,2,2024-03-11
448,27,Business,1970.43,24,2024-02-12
449,27,First,5635.72,4,2024-04-08
450,27,First,2078.52,13,2024-04-22
451,27,First,5934.5,5,2024-05-06
452,27,First,4808.35,40,2024-05-20
453,27,First,2364.2,35,2024-02-26
454,27,First,6460.86,26,2024-01-01
455,27,First,6932.16,3,2024-01-29
456,27,First,6941.86,17,2024-01-15
457,28,Economy,186.04,185,2024-01-01
458,28,Economy,277.09,98,2024-06-03
459,28,Economy,248.83,134,2024-01-15
460,28,Economy,566.68,145,2024-02-26
461,28,Economy,545.22,45,2024-05-20
462,28,Economy,499.73,142,2024-02-12
463,28,Economy,402.33,27,2024-05-06
464,28,Business,1919.92,32,2024-05-06
465,28,Business,1410.03,10,2024-03-11
466,28,Business,1881.36,38,2024-05-20
467,28,Business,1663.23,22,2024-04-08
468,28,Business,2765.96,35,2024-03-25
469,28,Business,2979.51,20,2024-01-15
470,28,Business,2627.65,26,2024-06-17
471,28,Business,2434.04,27,2024-04-22
472,28,First,7556.88,16,2024-03-11
473,28,First,4160.05,28,2024-05-06
474,28,First,4685.0,25,2024-02-12
475,28,First,2001.17,2,2024-06-03
476,28,First,7897.74,38,2024-04-22
477,28,First,2097.81,8,2024-05-20
478,28,First,7960.47,19,2024-04-08
479,28,First,2039.41,14,2024-02-26
480,29,Economy,467.66,146,2024-03-11
481,29,Economy,749.63,39,2024-01-01
482,29,Economy,184.12,117,2024-02-26
483,29,Economy,361.85,35,2024-04-22
484,29,Business,2546.58,5,2024-03-11
485,29,Business,1969.17,36,2024-05-06
486,29,Business,2802.92,4,2024-02-12
487,29,Business,2336.59,30,2024-05-20
488,29,Business,1014.97,36,2024-02-26
489,29,First,2224.23,36,2024-05-06
490,29,First,4289.28,3,2024-05-20
491,29,First,7531.23,21,2024-02-26
492,30,Economy,551.04,161,2024-03-25
493,30,Economy,380.09,78,2024-06-17
494,30,Economy,476.58,81,2024-01-15
495,30,Economy,487.15,38,2024-02-12
496,30,Economy,342.25,178,2024-01-01
497,30,Business,2930.5,38,2024-01-29
498,30,Business,1980.61,5,2024-01-01
499,30,Business,1133.01,18,2024-05-20
500,30,Business,2487.28,9,2024-03-25
501,30,First,6471.89,35,2024-03-11
502,30,First,4395.15,5,2024-01-15
503,30,First,4391.16,27,2024-04-08
504,30,First,6642.95,8,2024-05-06
505,31,Economy,388.82,146,2024-04-08
506,31,Economy,253.35,157,2024-04-22
507,31,Economy,798.01,134,2024-02-12
508,31,Economy,287.45,18,2024-06-17
509,31,Business,870.07,26,2024-06-17
510,31,Business,1616.5,22,2024-03-25
511,31,Business,1057.18,22,2024-03-11
512,31,Business,2025.31,1,2024-05-06
513,31,Business,2447.24,10,2024-01-15
514,31,First,2269.27,14,2024-05-06
515,31,First,3198.11,23,2024-04-08
516,31,First,2935.95,5,2024-06-17
517,31,First,2674.23,3,2024-01-29
518,31,First,3458.29,39,2024-06-03
519,32,Economy,327.48,120,2024-02-26
520,32,Economy,135.47,53,2024-01-01
521,32,Economy,623.21,54,2024-03-11
522,32,Economy,258.58,133,2024-01-15
523,32,Business,1503.86,33,2024-04-22
524,32,Business,704.36,10,2024-04-08
525,32,Business,744.26,12,2024-05-06
526,32,Business,2494.05,39,2024-01-29
527,32,Business,1251.08,29,2024-01-01
528,32,First,7204.46,24,2024-01-01
529,32,First,3387.01,24,2024-01-15
530,32,First,5051.24,6,2024-03-25
531,32,First,7423.23,31,2024-02-26
532,32,First,7200.64,34,2024-03-11
533,32,First,2528.12,12,2024-06-03
534,32,First,5003.9,29,2024-06-17
535,32,First,5364.13,1,2024-01-29
536,33,Economy,346.83,100,2024-02-12
537,33,Economy,626.19,4,2024-04-22
538,33,Economy,355.81,90,2024-02-26
539,33,Business,2548.54,40,2024-05-20
540,33,Business,1218.43,24,2024-02-26
541,33,Business,2736.97,1,2024-02-12
542,33,Business,2865.93,17,2024-04-22
543,33,Business,1141.4,21,2024-06-03
544,33,First,4504.0,36,2024-05-20
545,33,First,2916.49,19,2024-01-29
546,33,First,7458.41,21,2024-01-15
547,33,First,4695.02,8,2024-03-25
548,33,First,3240.54,8,2024-04-22
549,33,First,5486.18,12,2024-02-12
550,34,Economy,412.44,197,2024-02-26
551,34,Economy,218.7,144,2024-06-03
552,34,Economy,743.64,81,2024-04-22
553,34,Economy,166.11,136,2024-01-29
554,34,Business,1328.04,40,2024-01-15
555,34,Business,2839.8,17,2024-01-29
556,34,Business,964.7,12,2024-03-11
557,34,Business,856.25,11,2024-06-03
558,34,Business,662.88,39,2024-01-01
559,34,Business,2080.67,38,2024-05-20
560,34,Business,1960.9,14,2024-02-12
561,34,Business,2031.27,14,2024-03-25
562,34,First,4243.76,24,2024-01-01
563,34,First,4948.67,8,2024-03-11
564,34,First,2982.72,14,2024-01-15
565,34,First,2193.38,0,2024-04-08
566,34,First,7552.61,26,2024-01-29
567,34,First,3335.33,12,2024-05-06
568,34,First,6546.66,4,2024-06-03
569,34,First,3062.47,28,2024-03-25
570,35,Economy,647.83,155,2024-04-08
571,35,Economy,620.03,97,2024-06-03
572,35,Economy,609.74,100,2024-03-11
573,35,Economy,535.82,190,2024-06-17
574,35,Economy,508.92,137,2024-02-12
575,35,Economy,477.16,180,2024-03-25
576,35,Economy,655.11,133,2024-04-22
577,35,Business,2706.67,15,2024-04-08
578,35,Business,1844.89,25,2024-06-17
579,35,Business,2961.19,2,2024-01-01
580,35,First,4388.24,19,2024-03-25
581,35,First,6642.06,18,2024-04-22
582,35,First,4768.08,27,2024-05-20
583,35,First,3766.52,3,2024-01-01
584,35,First,6139.72,9,2024-02-12
585,35,First,4781.47,28,2024-02-26
586,35,First,2542.64,32,2024-06-03
587,36,Economy,212.01,105,2024-01-29
588,36,Economy,339.95,6,2024-05-06
589,36,Economy,241.64,151,2024-04-22
590,36,Business,896.51,7,2024-02-12
591,36,Business,2294.94,40,2024-04-08
592,36,Business,1471.06,33,2024-01-15
593,36,Business,2297.47,32,2024-02-26
594,36,Business,2068.97,10,2024-03-11
595,36,Business,1508.83,24,2024-01-29
596,36,Business,705.37,10,2024-04-22
597,36,Business,2789.41,36,2024-03-25
598,36,First,6380.97,28,2024-01-29
599,36,First,3732.68,11,2024-06-17
600,36,First,2705.32,8,2024-06-03
601,36,First,7762.6,0,2024-05-20
602,36,First,5735.36,16,2024-01-01
603,36,First,2073.25,31,2024-03-25
604,36,First,7132.47,34,2024-05-06
605,36,First,6844.73,38,2024-04-08
606,37,Economy,420.48,153,2024-02-12
607,37,Economy,528.07,62,2024-06-17
608,37,Economy,719.87,71,2024-05-06
609,37,Economy,541.44,142,2024-04-08
610,37,Economy,677.68,53,2024-05-20
611,37,Economy,153.26,37,2024-03-25
612,37,Business,948.9,2,2024-05-20
613,37,Business,2200.79,38,2024-03-11
614,37,Business,1316.26,5,2024-01-01
615,37,First,2968.01,18,2024-01-15
616,37,First,5666.54,38,2024-03-25
617,37,First,5433.7,35,2024-01-29
618,38,Economy,753.41,23,2024-04-08
619,38,Economy,642.59,82,2024-06-03
620,38,Economy,370.63,97,2024-05-06
621,38,Economy,677.78,194,2024-03-11
622,38,Business,2267.09,17,2024-04-22
623,38,Business,1390.1,26,2024-01-15
624,38,Business,1859.15,13,2024-02-26
625,38,Business,2068.93,6,2024-04-08
626,38,Business,1971.28,40,2024-01-29
627,38,Business,1869.47,5,2024-06-03
628,38,First,3557.96,36,2024-06-03
629,38,First,7970.15,22,2024-06-17
630,38,First,7562.63,39,2024-05-06
631,38,First,5375.81,33,2024-02-26
632,38,First,6375.11,31,2024-03-25
633,38,First,4955.03,11,2024-03-11
634,39,Economy,436.12,30,2024-02-12
635,39,Economy,621.48,53,2024-06-03
636,39,Economy,663.7,106,2024-02-26
637,39,Economy,401.55,85,2024-06-17
638,39,Economy,357.76,163,2024-01-01
639,39,Economy,264.39,163,2024-01-15
640,39,Economy,256.81,72,2024-04-22
641,39,Business,1919.98,0,2024-06-17
642,39,Business,873.21,21,2024-01-15
643,39,Business,1419.27,36,2024-02-26
644,39,Business,2078.38,1,2024-05-20
645,39,Business,2596.9,12,2024-04-22
646,39,First,5873.91,30,2024-03-11
647,39,First,2932.32,29,2024-05-20
648,39,First,7352.35,34,2024-04-08
649,39,First,7375.57,29,2024-06-03
650,39,First,6703.93,26,2024-01-01
651,40,Economy,586.14,90,2024-01-01
652,40,Economy,165.02,38,2024-04-22
653,40,Economy,310.71,7,2024-02-26
654,40,Economy,350.62,96,2024-05-06
655,40,Economy,546.03,42,2024-03-11
656,40,Economy,508.27,99,2024-06-17
657,40,Economy,247.42,29,2024-01-15
658,40,Economy,707.92,192,2024-05-20
659,40,Business,808.31,15,2024-06-03
660,40,Business,1491.8,19,2024-03-11
661,40,Business,1118.74,19,2024-01-01
662,40,Business,1020.03,23,2024-02-26
663,40,Business,2483.87,12,2024-03-25
664,40,First,6794.15,32,2024-04-08
665,40,First,2924.47,21,2024-04-22
666,40,First,7541.82,33,2024-01-01
667,41,Economy,580.17,33,2024-06-17
668,41,Economy,259.53,9,2024-03-11
669,41,Economy,432.37,182,2024-01-29
670,41,Economy,708.07,29,2024-01-15
671,41,Economy,122.79,11,2024-04-22
672,41,Business,2389.33,1,2024-05-06
673,41,Business,1986.14,19,2024-01-15
674,41,Business,2133.24,13,2024-03-11
675,41,Business,1370.11,12,2024-04-08
676,41,Business,1287.76,34,2024-01-01
